variant,branch,description,workload,buckets,threads,key_space,total_ops,repeat,ms,mops
locked_dynamic,main,Lock-based dynamic resizing,get,65536,16,16384,65536,2,25.593,2.561
locked_dynamic,main,Lock-based dynamic resizing,get,65536,16,16384,65536,3,25.088,2.612
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,1,16384,65536,1,14.050,4.665
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,1,16384,65536,2,13.978,4.688
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,1,16384,65536,3,14.053,4.664
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,2,16384,65536,1,25.948,2.526
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,2,16384,65536,2,22.709,2.886
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,2,16384,65536,3,29.608,2.213
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,4,16384,65536,1,29.024,2.258
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,4,16384,65536,2,25.746,2.545
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,4,16384,65536,3,23.974,2.734
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,8,16384,65536,1,39.987,1.639
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,8,16384,65536,2,27.525,2.381
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,8,16384,65536,3,28.551,2.295
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,16,16384,65536,1,39.670,1.652
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,16,16384,65536,2,38.403,1.707
locked_dynamic,main,Lock-based dynamic resizing,mixed,65536,16,16384,65536,3,38.672,1.695
locked_dynamic,main,Lock-based dynamic resizing,put,262144,1,65536,65536,1,27.190,2.410
locked_dynamic,main,Lock-based dynamic resizing,put,262144,1,65536,65536,2,27.079,2.420
locked_dynamic,main,Lock-based dynamic resizing,put,262144,1,65536,65536,3,27.297,2.401
locked_dynamic,main,Lock-based dynamic resizing,put,262144,2,65536,65536,1,32.936,1.990
locked_dynamic,main,Lock-based dynamic resizing,put,262144,2,65536,65536,2,26.612,2.463
locked_dynamic,main,Lock-based dynamic resizing,put,262144,2,65536,65536,3,28.857,2.271
locked_dynamic,main,Lock-based dynamic resizing,put,262144,4,65536,65536,1,30.958,2.117
locked_dynamic,main,Lock-based dynamic resizing,put,262144,4,65536,65536,2,32.622,2.009
locked_dynamic,main,Lock-based dynamic resizing,put,262144,4,65536,65536,3,35.379,1.852
locked_dynamic,main,Lock-based dynamic resizing,put,262144,8,65536,65536,1,36.587,1.791
locked_dynamic,main,Lock-based dynamic resizing,put,262144,8,65536,65536,2,36.121,1.814
locked_dynamic,main,Lock-based dynamic resizing,put,262144,8,65536,65536,3,36.857,1.778
locked_dynamic,main,Lock-based dynamic resizing,put,262144,16,65536,65536,1,45.736,1.433
locked_dynamic,main,Lock-based dynamic resizing,put,262144,16,65536,65536,2,35.197,1.862
locked_dynamic,main,Lock-based dynamic resizing,put,262144,16,65536,65536,3,44.044,1.488
locked_dynamic,main,Lock-based dynamic resizing,get,262144,1,65536,262144,1,38.082,6.884
locked_dynamic,main,Lock-based dynamic resizing,get,262144,1,65536,262144,2,38.883,6.742
locked_dynamic,main,Lock-based dynamic resizing,get,262144,1,65536,262144,3,41.942,6.250
locked_dynamic,main,Lock-based dynamic resizing,get,262144,2,65536,262144,1,82.518,3.177
locked_dynamic,main,Lock-based dynamic resizing,get,262144,2,65536,262144,2,99.656,2.630
locked_dynamic,main,Lock-based dynamic resizing,get,262144,2,65536,262144,3,123.320,2.126
locked_dynamic,main,Lock-based dynamic resizing,get,262144,4,65536,262144,1,102.784,2.550
locked_dynamic,main,Lock-based dynamic resizing,get,262144,4,65536,262144,2,68.038,3.853
locked_dynamic,main,Lock-based dynamic resizing,get,262144,4,65536,262144,3,105.381,2.488
locked_dynamic,main,Lock-based dynamic resizing,get,262144,8,65536,262144,1,95.540,2.744
locked_dynamic,main,Lock-based dynamic resizing,get,262144,8,65536,262144,2,89.564,2.927
locked_dynamic,main,Lock-based dynamic resizing,get,262144,8,65536,262144,3,83.994,3.121
locked_dynamic,main,Lock-based dynamic resizing,get,262144,16,65536,262144,1,94.681,2.769
locked_dynamic,main,Lock-based dynamic resizing,get,262144,16,65536,262144,2,92.287,2.841
locked_dynamic,main,Lock-based dynamic resizing,get,262144,16,65536,262144,3,96.424,2.719
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,1,65536,262144,1,56.556,4.635
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,1,65536,262144,2,55.760,4.701
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,1,65536,262144,3,54.986,4.767
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,2,65536,262144,1,96.618,2.713
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,2,65536,262144,2,78.628,3.334
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,2,65536,262144,3,76.985,3.405
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,4,65536,262144,1,109.592,2.392
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,4,65536,262144,2,98.353,2.665
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,4,65536,262144,3,82.958,3.160
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,8,65536,262144,1,112.916,2.322
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,8,65536,262144,2,111.378,2.354
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,8,65536,262144,3,114.675,2.286
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,16,65536,262144,1,99.340,2.639
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,16,65536,262144,2,117.807,2.225
locked_dynamic,main,Lock-based dynamic resizing,mixed,262144,16,65536,262144,3,118.379,2.214
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,1,262144,262144,1,105.945,2.474
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,1,262144,262144,2,108.324,2.420
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,1,262144,262144,3,106.976,2.450
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,2,262144,262144,1,119.982,2.185
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,2,262144,262144,2,94.718,2.768
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,2,262144,262144,3,117.545,2.230
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,4,262144,262144,1,140.247,1.869
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,4,262144,262144,2,123.057,2.130
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,4,262144,262144,3,158.038,1.659
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,8,262144,262144,1,117.650,2.228
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,8,262144,262144,2,158.676,1.652
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,8,262144,262144,3,160.407,1.634
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,16,262144,262144,1,172.225,1.522
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,16,262144,262144,2,174.397,1.503
locked_dynamic,main,Lock-based dynamic resizing,put,1048576,16,262144,262144,3,162.156,1.617
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,1,262144,1048576,1,156.048,6.720
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,1,262144,1048576,2,163.534,6.412
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,1,262144,1048576,3,149.859,6.997
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,2,262144,1048576,1,259.444,4.042
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,2,262144,1048576,2,307.337,3.412
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,2,262144,1048576,3,288.230,3.638
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,4,262144,1048576,1,318.754,3.290
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,4,262144,1048576,2,315.708,3.321
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,4,262144,1048576,3,232.886,4.503
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,8,262144,1048576,1,343.494,3.053
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,8,262144,1048576,2,412.335,2.543
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,8,262144,1048576,3,346.114,3.030
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,16,262144,1048576,1,462.598,2.267
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,16,262144,1048576,2,528.628,1.984
locked_dynamic,main,Lock-based dynamic resizing,get,1048576,16,262144,1048576,3,401.426,2.612
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,1,262144,1048576,1,255.275,4.108
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,1,262144,1048576,2,227.012,4.619
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,1,262144,1048576,3,257.519,4.072
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,2,262144,1048576,1,289.186,3.626
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,2,262144,1048576,2,279.485,3.752
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,2,262144,1048576,3,307.797,3.407
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,4,262144,1048576,1,397.761,2.636
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,4,262144,1048576,2,419.810,2.498
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,4,262144,1048576,3,367.630,2.852
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,8,262144,1048576,1,364.250,2.879
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,8,262144,1048576,2,403.617,2.598
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,8,262144,1048576,3,472.528,2.219
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,16,262144,1048576,1,448.092,2.340
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,16,262144,1048576,2,448.699,2.337
locked_dynamic,main,Lock-based dynamic resizing,mixed,1048576,16,262144,1048576,3,493.162,2.126
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,1,16384,16384,1,4.070,4.025
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,1,16384,16384,2,4.282,3.826
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,1,16384,16384,3,4.285,3.824
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,2,16384,16384,1,8.344,1.964
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,2,16384,16384,2,8.369,1.958
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,2,16384,16384,3,5.166,3.172
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,4,16384,16384,1,5.318,3.081
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,4,16384,16384,2,5.471,2.995
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,4,16384,16384,3,4.024,4.072
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,8,16384,16384,1,5.781,2.834
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,8,16384,16384,2,4.161,3.938
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,8,16384,16384,3,3.937,4.161
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,16,16384,16384,1,4.027,4.069
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,16,16384,16384,2,5.974,2.742
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,65536,16,16384,16384,3,6.067,2.700
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,1,16384,65536,1,2.069,31.674
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,1,16384,65536,2,2.071,31.644
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,1,16384,65536,3,2.056,31.875
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,2,16384,65536,1,1.661,39.450
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,2,16384,65536,2,1.327,49.394
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,2,16384,65536,3,1.413,46.371
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,4,16384,65536,1,1.401,46.791
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,4,16384,65536,2,1.331,49.241
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,4,16384,65536,3,1.171,55.979
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,8,16384,65536,1,1.385,47.306
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,8,16384,65536,2,1.385,47.317
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,8,16384,65536,3,1.327,49.402
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,16,16384,65536,1,2.010,32.604
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,16,16384,65536,2,1.829,35.827
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,65536,16,16384,65536,3,1.851,35.402
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,1,16384,65536,1,7.500,8.738
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,1,16384,65536,2,7.656,8.560
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,1,16384,65536,3,7.653,8.563
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,2,16384,65536,1,9.808,6.682
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,2,16384,65536,2,10.046,6.524
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,2,16384,65536,3,9.680,6.770
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,4,16384,65536,1,9.743,6.727
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,4,16384,65536,2,10.605,6.180
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,4,16384,65536,3,10.404,6.299
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,8,16384,65536,1,10.210,6.419
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,8,16384,65536,2,10.572,6.199
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,8,16384,65536,3,13.031,5.029
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,16,16384,65536,1,11.033,5.940
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,16,16384,65536,2,12.868,5.093
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,65536,16,16384,65536,3,11.017,5.948
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,1,65536,65536,1,15.122,4.334
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,1,65536,65536,2,15.231,4.303
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,1,65536,65536,3,15.308,4.281
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,2,65536,65536,1,15.810,4.145
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,2,65536,65536,2,17.112,3.830
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,2,65536,65536,3,13.437,4.877
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,4,65536,65536,1,21.542,3.042
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,4,65536,65536,2,20.395,3.213
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,4,65536,65536,3,22.022,2.976
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,8,65536,65536,1,19.673,3.331
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,8,65536,65536,2,20.985,3.123
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,8,65536,65536,3,19.424,3.374
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,16,65536,65536,1,19.502,3.361
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,16,65536,65536,2,20.071,3.265
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,262144,16,65536,65536,3,14.168,4.626
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,1,65536,262144,1,8.102,32.354
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,1,65536,262144,2,7.359,35.620
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,1,65536,262144,3,8.156,32.142
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,2,65536,262144,1,6.641,39.475
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,2,65536,262144,2,5.788,45.289
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,2,65536,262144,3,5.536,47.349
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,4,65536,262144,1,3.027,86.590
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,4,65536,262144,2,3.758,69.748
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,4,65536,262144,3,4.091,64.081
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,8,65536,262144,1,3.099,84.578
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,8,65536,262144,2,3.093,84.763
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,8,65536,262144,3,2.914,89.961
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,16,65536,262144,1,2.705,96.909
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,16,65536,262144,2,2.724,96.237
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,262144,16,65536,262144,3,2.652,98.864
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,1,65536,262144,1,30.185,8.685
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,1,65536,262144,2,30.946,8.471
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,1,65536,262144,3,33.401,7.848
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,2,65536,262144,1,44.831,5.847
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,2,65536,262144,2,37.736,6.947
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,2,65536,262144,3,40.247,6.513
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,4,65536,262144,1,45.272,5.790
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,4,65536,262144,2,37.160,7.055
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,4,65536,262144,3,41.519,6.314
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,8,65536,262144,1,41.529,6.312
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,8,65536,262144,2,37.691,6.955
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,8,65536,262144,3,41.400,6.332
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,16,65536,262144,1,50.474,5.194
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,16,65536,262144,2,43.631,6.008
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,262144,16,65536,262144,3,45.734,5.732
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,1,262144,262144,1,62.054,4.224
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,1,262144,262144,2,60.790,4.312
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,1,262144,262144,3,63.513,4.127
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,2,262144,262144,1,57.236,4.580
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,2,262144,262144,2,51.616,5.079
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,2,262144,262144,3,87.463,2.997
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,4,262144,262144,1,89.751,2.921
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,4,262144,262144,2,62.657,4.184
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,4,262144,262144,3,77.885,3.366
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,8,262144,262144,1,73.163,3.583
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,8,262144,262144,2,76.817,3.413
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,8,262144,262144,3,65.664,3.992
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,16,262144,262144,1,75.301,3.481
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,16,262144,262144,2,79.034,3.317
lockfree_chaining,lock-free,Fixed-size lock-free chaining,put,1048576,16,262144,262144,3,73.785,3.553
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,1,262144,1048576,1,55.382,18.933
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,1,262144,1048576,2,32.476,32.288
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,1,262144,1048576,3,31.860,32.912
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,2,262144,1048576,1,24.632,42.570
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,2,262144,1048576,2,25.728,40.756
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,2,262144,1048576,3,22.132,47.379
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,4,262144,1048576,1,15.120,69.349
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,4,262144,1048576,2,14.743,71.121
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,4,262144,1048576,3,13.954,75.146
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,8,262144,1048576,1,9.801,106.988
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,8,262144,1048576,2,10.344,101.367
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,8,262144,1048576,3,9.673,108.400
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,16,262144,1048576,1,10.071,104.119
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,16,262144,1048576,2,7.396,141.771
lockfree_chaining,lock-free,Fixed-size lock-free chaining,get,1048576,16,262144,1048576,3,8.926,117.476
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,1,262144,1048576,1,132.963,7.886
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,1,262144,1048576,2,138.151,7.590
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,1,262144,1048576,3,138.450,7.574
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,2,262144,1048576,1,140.390,7.469
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,2,262144,1048576,2,142.826,7.342
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,2,262144,1048576,3,146.656,7.150
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,4,262144,1048576,1,171.692,6.107
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,4,262144,1048576,2,200.543,5.229
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,4,262144,1048576,3,193.500,5.419
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,8,262144,1048576,1,151.534,6.920
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,8,262144,1048576,2,184.504,5.683
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,8,262144,1048576,3,186.414,5.625
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,16,262144,1048576,1,180.402,5.812
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,16,262144,1048576,2,176.066,5.956
lockfree_chaining,lock-free,Fixed-size lock-free chaining,mixed,1048576,16,262144,1048576,3,176.042,5.956
lockfree_dynamic_resize,codex/lock-free-resize-experiment,Experimental dynamic-resizing lock-free chaining,put,65536,1,16384,16384,1,4.771,3.434
lockfree_dynamic_resize,codex/lock-free-resize-experiment,Experimental dynamic-resizing lock-free chaining,put,65536,1,16384,16384,2,4.678,3.502
lockfree_dynamic_resize,codex/lock-free-resize-experiment,Experimental dynamic-resizing lock-free chaining,put,65536,1,16384,16384,3,4.768,3.436
lockfree_dynamic_resize,codex/lock-free-resize-experiment,Experimental dynamic-resizing lock-free chaining,put,65536,2,16384,16384,1,3.889,4.213
lockfree_dynamic_resize,codex/lock-free-resize-experiment,Experimental dynamic-resizing lock-free chaining,put,65536,2,16384,16384,2,4.128,3.969
lockfree_dynamic_resize,codex/lock-free-resize-experiment,Experimental dynamic-resizing lock-free chaining,put,65536,2,16384,16384,3,3.363,4.871
lockfree_dynamic_resize,codex/lock-free-resize-experiment,Experimental dynamic-resizing lock-free chaining,put,65536,4,16384,16384,1,4.609,3.555
